Concepto,Respuesta,Codigo
palacio,es un lugar donde se entierra a gente de gran alcurnia,cementerio
palacio,lugar de realeza,realeza
detalle,algo puntual,especifico
detalle,una cualidad especifica,especifico
sanidad,es un estado mental del ser humano,mente
sanidad,es un estado fisico del ser humano,capacidad_fisica
mandato,es un deber,deberes
mandato,es una obligacion hecha por alguien mas,autoridad
mandato,es un fin,finalizar
entidad,un ser que tiene una presencia,ente
entidad,una cosa que se manifiesta frente a uno,ente
reserva,es donde se almacenan cosas,almacenar
reserva,es un conjunto de cosas en caso de emergencia,emergencia
reserva,es donde se preservan cosas,almacenar
fortuna,es la suerte que uno posee,suerte
fortuna,cantidad de bienes que se tienen,patrimonio
regreso,el volver a un lugar que ya antes se habia estado,retorno
regreso,que vuelva alguien o algo que se habia ido,retorno
entorno,lo que nos rodea,ambiente
entorno,un area que se encuentra alrededor de una cosa,contorno
alcance,lograr algo,objetivos
alcance,el rango de algo,rango
alcance,que tan lejos se puede llegar,trascender
malicia,un acto de malas intenciones,malintencionado
malicia,hacer algo encontra del bien,malintencionado
malicia,actuar de manera inmoral,inmoral
ajedrez,juego,juego
ajedrez,inteligencia,inteligencia
ajedrez,tabla,tablero
ajedrez,blanco y negro,dualidad
ajedrez,piezas,piezas_tablero
ajedrez,estrategia,estrategia
ajedrez,intuición,intuicion
ajedrez,rapidez mental,capacidad_cognitiva
ajedrez,2 contrincantes,relacional
ajedrez,tension,estresante
estatua,entidad aislada,aislado
estatua,homenaje,homenaje
estatua,monumento,monumento
estatua,recuerdo,recuerdo
estatua,construida de cemento,material_construccion
estatua,importante,relevancia
estatua,arte representativo,representativo
estatua,asiste la gente,reunion
estatua,placas de recuerdo,recuerdo
estatua,lugares importantes,relevancia
cadáver,huesos,huesos
cadáver,esqueleto,huesos
cadáver,muerte,muerte
cadáver,fallecimiento,muerte
cadáver,personas,personas
cadáver,asesinato,crimen
cadáver,aniquilación,muerte
cadáver,cementerio,cementerio
cadáver,persona acostada en tabla,difunto
cadáver,crimen,crimen
arreglo,reparar,reparar
arreglo,ordenar,ordenado
arreglo,clasificar,categorizar
arreglo,ajustar,ajuste
arreglo,embellecer,belleza
arreglo,adornar,decorativo
arreglo,sistematizar,sistema
arreglo,reformar,modificar
arreglo,retocar,modificar
arreglo,mejorar,mejorar
emoción,sentimiento,sentimientos
emoción,repercusión sobre un hecho,impactar
emoción,felicidad,felicidad
emoción,llorar,angustia
emoción,acontecimiento importante,relevancia
emoción,alteración,distorsiones
emoción,impresión,impactar
emoción,exaltar,exageracion
emoción,se agita la persona,agitacion
emoción,inquieto,intranquilidad
detalle,pequeño,pequeno
detalle,hace la diferencia,diferenciador
detalle,se tiene que mejorar,mejorar
detalle,particular,especifico
detalle,pormenor,irrelevante
detalle,elemento,elemento
detalle,rasgo,caracteristica
detalle,sobresale,notorio
detalle,fragmento de cosas,fragmentado
detalle,prolijo,meticuloso
entidad,identidad,identidad
entidad,individuo,identidad
entidad,imagen que representa personas,identidad
entidad,esencia,escencia
entidad,ente,ente
entidad,organismo,organismo
entidad,unidad,unificar
entidad,sociedad,comunidad
entidad,organizar,ordenado
entidad,representación,abstraccion
aliento,mal olor en la boca,halitosis
aliento,animo,motivacion
aliento,fuerza,fuerza
aliento,partido de futbol,deporte
aliento,cebolla,verduras
aliento,mentas,sabor
crucero,barco gigante,embarcacion
crucero,vacaciones,vacaciones
crucero,sol y playa,estrella
crucero,sol y playa,playa
crucero,tropical,clima
crucero,verano,estaciones_del_ano
crucero,titanic,pelicula
crucero,viaje a bahamas,vacaciones
cantina,bar,cantina
cantina,tomar cervezas,bebida_alcoholica
cantina,whiskey,bebida_alcoholica
cantina,viejo oeste,historia
cantina,puerta giratoria,mobiliario
cantina,vaqueros,vaqueros
cantina,peleas en un bar,pelea
cantina,mesero,oficio
cantina,cherif,filosofia
camisón,polera larga,vestimenta
camisón,camisa que te queda larga,vestimenta
camisón,pijama largo,vestimenta_de_dormir
camisón,abuelos,abuelos
camisón,gorro con ponpon,accesorio
camisón,traje entero,vestimenta
camisón,placa de ancianos,envejecimiento
aullido,lobos salvajes,animal_salvaje
aullido,perros,animal_domestico
aullido,llamado de asustado,socorro
aullido,llamado de auxilio,auxilio
aullido,grito,sonido_agudo
aullido,noche,ciclo_del_dia
aullido,luna,satelite_terrestre
aullido,hombre lobo,animal_mitologico
cazuela,abuela,abuelos
cazuela,caliente,caliente
cazuela,sopa,liquido
cazuela,acojedor,acompanar
cazuela,típico chileno,pais_latinoamericano
cazuela,zapallo,verduras
cazuela,comida de invierno,clima
cazuela,calor,caliente
aguijón,punzante,penetrante
aguijón,abejas,insecto
aguijón,hinchazón,reaccion_corporal
aguijón,defensa propia,defenderse
aguijón,dolor,sufrimiento
aguijón,veneno,venenoso
aguante,sostener,accion_prolongada
aguante,capacidad mental,capacidad_cognitiva
aguante,tener coraje,valentia
aguante,tener paciencia,paciencia
aguante,fuerza,fuerza
aguante,acompañar,acompanar
atuendo,prenda de vestir,vestimenta
atuendo,traje,vestimenta
atuendo,formal,formalidad
atuendo,chaqueta larga,vestimenta
atuendo,estilo de vestimenta,vestimenta
atuendo,traje de baño,vestimenta
atuendo,ropa,vestimenta
delicia,chocolate,chocolate
delicia,dulces,dulce
delicia,jugoso,liquido
delicia,comidas dulces,dulce
delicia,comida gourmet,comida_gourmet
conjuro,hechizero,brujeria
conjuro,maldal,malefico
conjuro,maleficio,malefico
conjuro,magos,magia
conjuro,juegos de rol,juego_de_rol
conjuro,cartas mágicas,juego_de_cartas
conjuro,magia,magia
conjuro,miedo,miedo
conjuro,harry potter,personaje_ficticio
llanura,generalmente es un terreno muy nivelado,plano
llanura,utilizado para referirse a tierra sin desniveles,plano
llanura,una superficie en igualdad de nivel,plano
llanura,es plano,plano
llanura,tiene poco desnivel,plano
llanura,no tiene desniveles,plano
llanura,es un terreno parejo,plano
llanura,no tiene bosques si es un terreno,deforestacion
llanura,una superficie pareja,plano
llanura,a veces puede ser utilizado para referirse a un dialogo sin bajos ni altos marcados,concepto
estatua,es una figura tallada a voluntad,artista
estatua,representa algo,representativo
estatua,es una obra creada mediante un proceso de escultura,escultura
estatua,hay de diferentes tipos,variedad
estatua,hay de diferentes formas,variedad
estatua,hay de diferentes materiales,material_construccion
estatua,hay de diferentes tamaños,tamanos
estatua,las hay históricas y modernas,historia
estatua,las hay históricas y modernas,modernidad
monarca,similar a un rey,realeza
monarca,es una autoridad formal máxima,autoridad
monarca,alguien que es soberano de un reino,soberania
monarca,tiene subditos,jerarquia
monarca,puede ser hombre,masculino
monarca,puede ser mujer,femenino
monarca,puede ser un jefe de estado,gobierno
monarca,similar a una reina,realeza
cadáver,un cuerpo sin vida,difunto
cadáver,algo que tuvo vida,vida
cadáver,ahora está muerto,muerte
cadáver,un cuerpo muerto,difunto
cadáver,asociado a muerte,muerte
cadáver,no esta enterrado,inhumacion
poblado,un lugar donde hay mucho habitante,sobrepoblado
poblado,puede habitar muchas personas,sobrepoblado
poblado,puede habitar muchos animales,fauna
poblado,puede habitar mucho de algo,sobrepoblado
poblado,un espacio físico o virtual que esta muy habitado,sobrepoblado
poblado,puede ser un lugar físico o virtual que tiene mucho de algo,sobrepoblado
poblado,mucho de algo,diversidad
poblado,puede referirse a un pueblo provisional,localidad
poblado,puede ser un pequeño espacio con un disminuido conjunto de casas al rededor de una metrópolis,suburbio
poblado,un espacio habitado con una pequeña cantidad de personas,vivienda
capilla,en ese lugar se practica la religión,iglesia
capilla,espacio de adoración,iglesia
capilla,parte de una inglesia,iglesia
capilla,puede ser una gran sala dentro de una catedral,iglesia
capilla,puede ser una habitación en una iglesia,iglesia
capilla,hay en cárceles,carcel
capilla,hay en hoteles,hotel
capilla,hay en edificios,arquitectura
capilla,hay en hospitales,hospital
capilla,se puede encontrar en diversas edificaciones que le quieran destinar un espacio a la religión,arquitectura
bandera,puede representar a una institución,identidad
bandera,puede representar a un país,nacion
bandera,puede ser utilizada en guerras,guerra
bandera,representa algo,identidad
bandera,va acompañada de sentimientos,sentimientos
bandera,a veces es solo de un color,colores
bandera,puede ser muticolor,colores
bandera,a veces va acompañada de un escudo patrio,simbolos
bandera,es importante signo de unidad,unificar
bandera,aboga por una idea,idealismo
planeta,es un cuerpo celeste,astros
planeta,hay muchos de ellos en el universo,astros
planeta,no emite luz propia,oscuridad
planeta,puede ser sólido o gaseoso pero su núcleo en la mayoría de casos es sólido,elemento_quimico
planeta,tienen forma redonda en la mayoría de los casos,figura_geometrica
planeta,poseen atmosfera,fuerza_fisica
planeta,su atmosfera puede ser débil,fuerza_fisica
planeta,su atmosfera puede ser fuerte,fuerza_fisica
capitán,alguien que manda,autoridad
capitán,tiene autoridad sobre un grupo de subordinados,autoridad
capitán,esta antes que mayor,jerarquia
capitán,esta después que teniente primero,jerarquia
capitán,esta al mando de una compañía,liderazgo
capitán,es un rango militar,jerarquia
capitán,es una persona que dirige,liderazgo
capitán,toma desiciones,responsabilidad
capitán,tiene responsabilidades superiores,responsabilidad
palacio,es un tipo de edificación caracterizada por los lujos y grandes espacios,arquitectura
palacio,es un tipo de edificación caracterizada por los lujos y grandes espacios,lujos
palacio,es un tipo de edificación caracterizada por los lujos y grandes espacios,amplitud
palacio,edificio monumental,monumento
palacio,es un edificio de grandes dimensiones con espacios grandes y terminaciones costosas,arquitectura
palacio,es un edificio de grandes dimensiones con espacios grandes y terminaciones costosas,lujos
palacio,es un edificio de grandes dimensiones con espacios grandes y terminaciones costosas,amplitud
palacio,es un edificio asociado al lujo,lujos
palacio,lo habitan reyes,monarcas
detalle,a veces se compra de esa manera,consumo
detalle,implica una cantidad de definición de algo,concepto
detalle,puede ser una lista de compra pormenorizada,irrelevante
detalle,se utiliza para solicitar una descripción con cierto nivel de descripción,instrucciones
sanidad,es un estado de un ser vivo,vida
sanidad,puede ser utilizado para referirse a una consulta que hace el servicio médico,medico
mandato,es una orden,imposicion
entidad,puede ser una persona que se dedica algo,disciplina
entidad,puede ser una institución que se dedica a algo,institucion
entidad,puede cumplir funciones,utilidad
entidad,a veces se utiliza como una magnitud que es superior,medicion
entidad,representa ideales,idealismo
entidad,representa personas,identidad
reserva,puede ser un terreno protegido para conservar la vida y entorno del lugar,santuario_natural
reserva,puede ser algo almacenado para ser conservado,almacenar
reserva,es lo que se guarda para más adelante,almacenar
reserva,puede ser un conjunto de cosas que se guardan para otro momento,almacenar
fortuna,puede ser una cantidad de riqueza,riqueza
fortuna,puede ser una cantidad de suerte,suerte
fortuna,es una magnitud de riqueza,riqueza
fortuna,es una magnitud de suerte,suerte
fortuna,puede ser una causa,causalidad
fortuna,puede ser un efecto,consecuencias
regreso,es una acción,accion_fisica
regreso,se usa para describir una forma de andar,descripcion
regreso,todo ser vivo puede regresar,organismo
regreso,es cuando alguien vuelve a un lugar,retorno
entorno,es un conjunto de espacios alrededor de un punto,conjunto
entorno,describe un espacio físico,ambiente
entorno,describe un espacio virtual,virtualidad
entorno,no es tangible pero lo que lo compone sí lo es,abstraccion
entorno,se utiliza para referirse a la extensión de un terreno,terreno_delimitado
entorno,en informática es un ambiente de trabajo que cumple determinadas características,computacion
alcance,distancia que puede lograr una acción,accion_fisica
alcance,más o menos una magnitud de trascendencia,trascender
alcance,puede ser medido,medicion
alcance,puede ser estimado,medicion
alcance,puede ser controlado,capacidad_cognitiva
alcance,puede ser interpretado,interpretable
alcance,mida la distancia virtual de una acción,medicion
alcance,puede aplicar al mundo no físico,abstraccion
alcance,es una manera de decir cuanto afecta algo a otra cosa,impactar
alcance,no es preciso,interpretable
malicia,es la intención de hacer algo con maldad,malintencionado
malicia,es una intención,intencion
malicia,ocurre cuando haces algo mal intencionado,malintencionado
malicia,es una intención escondida,malintencionado
malicia,puede ser una cualidad,caracteristica
malicia,es una cualidad negativa,negativo
malicia,es un acto cometido con la intención de perjudicar,malintencionado
felinos,gatos,animal_domestico
felinos,pumas,animal_salvaje
felinos,bigotes,vello_facial
felinos,especie,especie
felinos,mamifero,mamifero
felinos,animal,animal
felinos,tienen 4 patas,cuadrupedo
felinos,tienen cola,extremidades
felinos,maúllan,ronroneo
felinos,saltan,accion_fisica
letrero,cartel,anuncio
letrero,información,informacion
letrero,esta colgado,colgante
letrero,esta pegado,sobrepuesto
letrero,puede servir de mapa,mapa
letrero,nombre de un local,nombramiento
letrero,adorno,decorativo
letrero,muchas o pocas letras,contenido
letrero,advierten peligro,advertencia
letrero,pueden tener led,iluminacion
albañil,empleado,empleado
albañil,construcción,constructor
albañil,levanta sacos,accion_fisica
albañil,tiene fuerza,fuerza
albañil,ladrillo,material_construccion
albañil,cemento,material_construccion
albañil,carga carretilla,accion_fisica
albañil,ropa sucia,vestimenta_de_trabajo
albañil,trabaja,oficio
albañil,obrero,oficio
madrina,persona que te ama,amor
madrina,es una mujer,femenino
madrina,designada por tus padres,designado
madrina,se asigna en el bautizo,ritual
madrina,comadre de tus padres,familia
madrina,parte de la religión católica,religion
madrina,acompaña a la novia,acompanar
madrina,esta presente en los matrimonios,matrimonio
madrina,cumple alguna función según la iglesia,figura_religiosa
madrina,amiga de la novia o madre,familia
péndulo,oscila,oscilacion
péndulo,es un hilo con un peso,objetos
péndulo,fijo en un punto,estatico
péndulo,se usa para medir la gravedad,instrumento_de_medicion
péndulo,presente en la asignatura de física,disciplina_cientifica
péndulo,ayuda a hacer experimentos,experimentos
péndulo,columpio,juego
péndulo,tiene periodo,periodo
péndulo,diferentes largos,tamanos
péndulo,tiene amplitud,amplitud
biólogo,estudia celulas,celulas
biólogo,estudio de la vida,vida
biólogo,usa microscopio,instrumento_de_medicion
biólogo,hace estudios,investigador
biólogo,utiliza el método científico,ciencia
biólogo,es una profesión,disciplina_cientifica
biólogo,experimenta,experimentos
biólogo,enseña,educacion
biólogo,genetica,genes
biólogo,adn,genes
aristas,tiene una figura geométrica,figura_geometrica
aristas,lados,contorno
aristas,une puntos,interseccion
aristas,igual al numero de puntos en figuras planas,figura_geometrica
aristas,geometría,matematicas
aristas,colegio,colegio
aristas,diseño,diseno
aristas,hacen la cara de una figura geométrica,figura_geometrica
aristas,estudio,aprender
aristas,definen una figura,figura
hormona,sustancia,particula
hormona,la libera una glándula,sistema_endocrino
hormona,se puede inyectar,inyeccion
hormona,ayudan al crecimiento,crecimiento
hormona,existen hormonas sexuales,sistema_endocrino
hormona,testosterona,moleculas
hormona,estrógeno,moleculas
hormona,progesterona,moleculas
hormona,metabolismo,metabolismo
hormona,estimulan,estimulo
neblina,tiene un tono blanco,color_claro
neblina,deja ver parcialmente,visibilidad_reducida
neblina,puede ser mucha o poca,cantidad
neblina,se ve en la cima de los cerros,distancia
neblina,disminuye la temperatura,temperatura
neblina,es como estar dentro de una nube,sensaciones
neblina,se ve cerca del mar en ocasiones,playa
neblina,contiene gotas de agua,liquido
neblina,dificulta conducir,riesgoso
neblina,clima,clima
resorte,se estudia su física,fisica
resorte,sirve para amortiguar,rebote
resorte,se utiliza en las camas,mobiliario
resorte,se puede apretar,accion_fisica
resorte,vuelve a su posición,retorno
resorte,se puede ver en muchos productos,variedad
resorte,puede tener diferentes tamaños y materiales,tamanos
resorte,puede tener diferentes tamaños y materiales,material
resorte,ayudan a saltar,rebote
resorte,tiene forma espiral,circular
resorte,elemento elástico,elasticidad
pericia,habilidad,destreza
pericia,sabiduria,conocimiento
pericia,conocimiento,conocimiento
pericia,dificultad,dificil
pericia,es una palabra,palabras
pericia,no es muy frecuente escucharla,infrecuente
pericia,investigacion,investigador
pericia,resultados,resultado
pericia,informe,documento
pericia,perito,forense
lucidez,capaz de pensar,capacidad_cognitiva
lucidez,tomar buenas decisiones,asertividad
lucidez,consciente,consciencia
lucidez,se puede perder,perdidas
lucidez,se pierde con el alcohol,embriaguez
lucidez,se pierde con el sueño,cansancio
lucidez,no hay cansancio mental,capacidad_cognitiva
lucidez,cuando no se consume droga,sobriedad
lucidez,inteligente,inteligencia
lucidez,se puede conducir,conducir
facetas,etapas,etapa
facetas,estados,estado_de_animo
facetas,existen diferentes,diversidad
facetas,tiene una persona,personalidad
facetas,actitud,personalidad
facetas,apariencia,apariencia
facetas,ideas,creatividad
facetas,acciones,reaccion
facetas,metas,objetivos
facetas,características,caracteristica
reclamo,se hace cuando uno esta enojado,frustacion
reclamo,exigir algo,demandar
reclamo,se hace cuando algo parece incorrecto,demandar
reclamo,puede ser conversando o por escrito,conversacion
reclamo,puede ser conversando o por escrito,escritura
reclamo,debido a una disconformidad,desconforme
reclamo,pedir lo que uno cree que merece,justicia
reclamo,existe un libro en los locales para dejarlo,libros
reclamo,el sernac recibe muchos,institucion
reclamo,es opcional decirlo,optativo
reclamo,expresar descontento,desconforme
evasión,evitar,evadir
evasión,no aceptar las reglas,rebeldia
evasión,esquivar,evadir
evasión,posponer,accion_prolongada
evasión,no hacer,holgazanear
evasión,no seguir,holgazanear
evasión,no pagar,irresponsabilidad
evasión,no cumplir,irresponsabilidad
evasión,no hacer tus responsabilidades,irresponsabilidad
evasión,eludir,evadir
inercia,quieto,estatico
inercia,cuando no se le aplica fuerza,estatico
inercia,objeto en reposo,descanso
inercia,sin fuerza no se mueve,estatico
inercia,física,disciplina_cientifica
inercia,actuar sin pensar,impulsividad
inercia,actuar rápido,inmediatez
inercia,no hacer nada,estatico
inercia,suma de las fuerzas igual a 0,fatiga
inercia,fuerza,fuerza
torpeza,que es inútil,inutilidad
torpeza,tiene dificultad para hacer algo,limitaciones
torpeza,tonto,estupidez
torpeza,poca habilidad,brusquedad
torpeza,no es agradable,desagrado
torpeza,hace sentir mal,irrespetuoso
torpeza,frustra,frustacion
torpeza,hace sentir débil,debilidad
torpeza,la gente se burla,broma
torpeza,ridiculez,estupidez
intriga,misterio,suspenso
intriga,curiosidad,curiosidad
intriga,interes,interes
intriga,necesidad de saber,conocimiento
intriga,secreto,secretos
intriga,desconocido,desconocido
intriga,desesperación,desesperacion
intriga,desagrado,desagrado
intriga,estrés,estresante
intriga,suspenso,suspenso
solidez,que esta en estado sólido,solido
solidez,es firme,resistencia
solidez,difícil de derrumbar,resistencia
solidez,es duro,dureza
solidez,rígido,estatico
solidez,puede tener mucha o poca,cantidad
solidez,argumentos válidos,argumentar
solidez,que esta bien hecho,perfeccionismo
solidez,se asocia a cosas buenas,positivo
solidez,respetable,responsabilidad
aptitud,sirve para alcanzar metas,logros
aptitud,capaz,optimo
aptitud,característica de una persona,caracteristica
aptitud,todos tienen diferentes,personalidad
aptitud,habilidad,destreza
costura,ropa,vestimenta
costura,union de tela,enhebrar
barriga,panza,cuerpo_humano
barriga,grande,tamanos
barriga,diversos motivos de la causa,multidimensional
lágrima,agua,liquido
lágrima,tristeza,angustia
lágrima,alegria,felicidad
lágrima,reaccion quimica del ser humano,reaccion_quimica
lágrima,ser humano,ser_humano
lágrima,llanto,angustia
lágrima,pena,angustia
lágrima,triunfo,victoria
lágrima,perdida de un ser querido,funeral
lágrima,llorar,angustia
palanca,largo,tamanos
palanca,ejecutable,accion_fisica
palanca,puede moverse,movimiento
palanca,permite ejecutar una accion,accion_fisica
palanca,accionable,accion_fisica
palanca,se ocupa en trenes,medio_de_transporte
palanca,se ocupan en vehiculos motorizados,motor
palanca,permite detener una accion,accion_fisica
palanca,esta en la estructura de algo,estructura
palanca,permite cambiar velocidades,velocidad
vinagre,algo podrido,descomposicion
vinagre,aliño,condimento
vinagre,sale de las manzanas,frutas
vinagre,mezcla putrefacta,descomposicion
vinagre,verduras,verduras
vinagre,liquido,liquido
vinagre,comestible,alimentarse
vinagre,permite aliñar la ensalada,condimento
vinagre,puede salir de las uvas,frutas
vinagre,util en la cocina,cocinar
mejilla,parte del cuerpo humano,cuerpo_humano
mejilla,cara,rostro
mejilla,puede tener pelo,vello_facial
mejilla,marcada o no marcada,notorio
mejilla,puede tener lunares,lunares
mejilla,puede tener cicatricez,cicatriz
mejilla,piel,organo_cuerpo_humano
mejilla,forma de saludo,saludar
mejilla,punto debil del ser humano,fragil
mejilla,chico,pequeno
caverna,platon,filosofo
caverna,civilizaciones primarias,prehistoria
caverna,origen de los estamentos del ser humano,ser_humano
caverna,aislar el frio,refugio
barbero,cortador de pelo,oficio
barbero,persona,personas
barbero,hombre,masculino
barbero,estilista,esteticista
barbero,cualidad para cortar el pelo,oficio
barbero,arregla la barba,oficio
cigüeña,animal,animal
cigüeña,plumifero,plumaje
cigüeña,se le asocia al origen de los recien nacidos,cuento_infantil
vampiro,no existe,sobrenatural
vampiro,chupa sangre,hematodixia
vampiro,relacionado a los murcielagos,animal_salvaje
vampiro,tiene colmillos,dentadura
vampiro,animal,animal
vampiro,le tiene miedo al ajo,mitologia
vampiro,puede volar,vuela
vampiro,no sale de dia,nocturnos
vampiro,sale de noche,nocturnos
vampiro,es palido,palidez
audacia,el chileno tiene eso,pais_latinoamericano
audacia,picaron,astucia
premisa,idea,creatividad
premisa,previo a,anterioridad
premisa,concepto sobre algo,concepto
premisa,juzgable,deduccion
premisa,ejercicios matematico,matematicas
premisa,interpretacion,interpretable
premisa,deduccion,deduccion
premisa,puede llevar   a contradiccion,contradiccion
premisa,antes de,anterioridad
premisa,lenguaje,lenguas
timidez,serio,seriedad
timidez,autista,enfermedad_psiquiatrica
timidez,no relacionado,soledad
timidez,no le gusta interactuar,soledad
timidez,poco efectivo,ineficiencia
timidez,poco amigable,soledad
timidez,individualista,individualista
timidez,problema social,consecuencia_social
timidez,sicologico,subjetivo
timidez,miedo a la sociedad,miedo
modales,costumbres,comportamiento
modales,trradiciones,tradiciones
modales,tenedor,utensilio_de_cocina
modales,cultura de un lugar,cultural
modales,respeto hacia las otras personas,responsabilidad
modales,tener mismo canal de comunicacion,comunicacion
modales,entendimiento,capacidad_cognitiva
modales,razocinio,razonable
modales,cuchillo,utensilio_de_cocina
modales,bien visto,apariencia
indicio,existencia,existencia
indicio,duda,interrogantes
indicio,signos,senales
indicio,inducir a algo,influyente
indicio,interpretar,interpretable
místico,misterioso,suspenso
místico,bruja,brujeria
místico,leyenda,mitologia
místico,tradicion,tradiciones
místico,cultura,cultural
místico,hay algo detras de,oculto
místico,incertidumbre,incertidumbre
místico,algo sobrenatural,sobrenatural
místico,paranormal,sobrenatural
místico,de dudosa procedencia,incertidumbre
bohemia,libertinaje,libertad
bohemia,queen,grupo_musical
bohemia,vivir la vida,refran_popular
bohemia,bullanguero,fanaticada
adición,sumar,operacion_aritmetica
influjo,pensamiento,capacidad_cognitiva
influjo,movilizar a algo,movimiento
dulzura,dulce,dulce
dulzura,pasteles,reposteria
dulzura,reposteria,reposteria
dulzura,queques,reposteria
dulzura,persona que es carismatica,personalidad
dulzura,tiene disposicion a algo,compromiso
salario,dinero,dinero
salario,plata,dinero
salario,dolar,dinero
salario,monedas,dinero
salario,billete,dinero
salario,sustento economico,estatus_socioeconomico
salario,bienestar economico,estatus_socioeconomico
salario,poder adquisitivo,patrimonio
salario,mensual,reiterado
aliento,mucho esfuerzo,esfuerzo
crucero,fiesta,fiesta
crucero,diversion,diversion
crucero,viaje,viaje
crucero,entretención,diversion
crucero,barra libre,fiesta
crucero,buffet,negocio
crucero,fotos,fotografia
crucero,recuerdos,recuerdo
crucero,traje de baño,vestimenta
crucero,vacaciones,vacaciones
pupitre,mesa,mobiliario
pupitre,lugar de estudio,aprender
pupitre,estudiante,estudiante
pupitre,aula,colegio
pupitre,madera,madera
pupitre,escritorio,mobiliario
pupitre,soporte,resistencia
pupitre,lugar para dormir,dormir
pupitre,tarea,evaluacion
pupitre,sentarse,comodidad
cantina,cerveza,bebida_alcoholica
cantina,fiesta,fiesta
cantina,bar,cantina
cantina,alcohol,bebida_alcoholica
cantina,aperitivo,comida
cantina,papas fritas,comida_chatarra
cantina,cita,cita_amorosa
cantina,entretención,diversion
cantina,diversion,diversion
cantina,punto de reunión,reunion
camisón,vestimenta,vestimenta
camisón,ropa,vestimenta
camisón,pijama,vestimenta_de_dormir
camisón,ropa interior,vestimenta
camisón,café,bebida_caliente
camisón,desayuno,desayuno
camisón,temprano,madrugar
aullido,perro,animal_domestico
aullido,lobo,animal_salvaje
aullido,luna llena,fase_lunar
aullido,noche,ciclo_del_dia
aullido,hombre lobo,animal_mitologico
aullido,bosque,paisaje
aullido,tristeza,angustia
aullido,dolor,sufrimiento
aullido,oscuridad,oscuridad
aullido,peludo,velludo
cazuela,sopa,liquido
cazuela,zapallo,verduras
cazuela,hambre,alimentarse
cazuela,no había otra cosa,refran_popular
cazuela,calor,caliente
cazuela,papas,verduras
cazuela,caliente,caliente
cazuela,verano,estaciones_del_ano
cazuela,carbohidratos,moleculas
aguijón,abeja,insecto
aguijón,dolor,sufrimiento
aguijón,sangre,tejido_liquido
aguijón,sufrimiento,sufrimiento
aguijón,esta bien afilado,afilado
aguijón,pinchazo,penetrante
aguijón,espina,puntiagudo
aguijón,avispa,insecto
aguijón,picadura,picor
aguijón,púa,puntiagudo
gatillo,arma,armamento
gatillo,detonador,explosion
gatillo,pistola,arma_de_fuego
gatillo,francotirador,arma_de_fuego
gatillo,seguro,bloquear
gatillo,dedo,partes_de_la_mano
gatillo,soldado,soldado
gatillo,muerte,muerte
gatillo,disparo,disparo
gatillo,bala,armamento
aguante,resistencia,resistencia
aguante,esfuerzo,esfuerzo
aguante,energía,energia
aguante,fuerza,fuerza
aguante,sufrimiento,sufrimiento
aguante,paciencia,paciencia
aguante,soportar,resistencia
aguante,contenerse,paciencia
aguante,resignarse,frustacion
aguante,reprimirse,frustacion
descaro,sin verguenza,sinverguenza
descaro,político,politica
descaro,desfachatez,sinverguenza
descaro,frescura,fresco
descaro,insolencia,irrespetuoso
descaro,procacidad,sinverguenza
descaro,atrevimiento,valentia
descaro,osadía,valentia
descaro,desparpajo,desinhibido
descaro,doble cara,enganar
frenesí,locura,locura
frenesí,exaltación,exageracion
frenesí,desenfreno,descontrol
frenesí,furia,furia
frenesí,fuera de si,descontrol
frenesí,sin pensar,impulsividad
frenesí,sin razonar,impulsividad
frenesí,agitacion,agitacion
frenesí,pasión,pasion
frenesí,delirio,delirio
nitidez,claridad,claridad
nitidez,transparencia,transparente
nitidez,limpio,higiene
nitidez,pureza,pureza
nitidez,brillo,iluminacion
nitidez,agua,liquido
nitidez,vidrio,cristal
nitidez,televisor hd,resolucion_pantalla
nitidez,foto,fotografia
nitidez,enfocar,enfocar
atuendo,prenda,vestimenta
atuendo,vestimenta,vestimenta
atuendo,ropa,vestimenta
atuendo,traje,vestimenta
atuendo,algodón,material_textil
atuendo,lana,material_textil
atuendo,poliester,material_textil
atuendo,textil,material_textil
atuendo,a la moda,tendencia
atuendo,chaqueta,vestimenta
delicia,postre,postre
delicia,chocolate,chocolate
delicia,cheff,oficio
delicia,gustos,preferencias
delicia,opinión,opinion
delicia,exquisito,sabor
delicia,sabroso,comida_sabrosa
delicia,rico,comida_sabrosa
delicia,dulce,dulce
delicia,azúcar,azucar
fealdad,opinión,opinion
fealdad,construcción social,contextual
fealdad,punto de vista,perspectiva
fealdad,horrible,horrorifico
fealdad,monstruoso,monstruosidad
fealdad,asqueroso,desagrado
fealdad,de buenos sentimientos,bondad
fealdad,deformidad,deforme
fealdad,desaliño,despreocupacion
fealdad,pegarle a la mama,refran_popular
soltura,cadera,cuerpo_humano
soltura,liberarse,libertad
soltura,destreza,destreza
soltura,descaro,sinverguenza
soltura,confianza,confianza
soltura,desenvoltura,desenvoltura
soltura,arte,arte
soltura,agilidad,destreza
soltura,elocuencia,elocuencia
soltura,gracia,agradable
revuelo,alboroto,descontrol
revuelo,tumulto,sobrepoblado
revuelo,caos,descontrol
revuelo,torbellino,remolino
revuelo,perturbación,transformacion
revuelo,conmoción,conmocion
revuelo,agitación,agitacion
revuelo,bulla,bullicioso
revuelo,tempestad,tormenta
revuelo,locura,locura
conjuro,hechizo,magia
conjuro,pelicula,pelicula
